Location Name;Facility Type;City;Full Address;Sport;Program Name;Category;Skill Level;Program Type;Days Running;Time;Pricing;Membership Required;Drop-In Available;Contact Number;Website;Google Maps Friendly Address;Indoor or Outdoor;Estimated Popularity;Notes;Last Verified Date
Aldergrove Credit Union Community Centre;Community Centre;Aldergrove;27032 Fraser Hwy, Aldergrove, BC V4W 3P6;Badminton;All Ages Open Badminton;All Ages;Recreational;Open Gym;Sun;4:00 PM - 6:00 PM;$7.00;No;Yes;604-857-4299;https://www.tol.ca;27032 Fraser Hwy, Aldergrove, BC;Indoor;Medium;Birdies and racquets available for rent.;2026-05-12
Aldergrove Credit Union Community Centre;Community Centre;Aldergrove;27032 Fraser Hwy, Aldergrove, BC V4W 3P6;Pickleball;Morning Open Pickleball;Adult;Beginner;Open Gym;Tue, Thu;8:30 AM - 10:30 AM;$6.25;No;Yes;604-857-4299;https://www.tol.ca;27032 Fraser Hwy, Aldergrove, BC;Indoor;Medium;Focus on senior players and beginners.;2026-05-13
Aldergrove Credit Union Community Centre;Community Centre;Aldergrove;27032 Fraser Hwy, Aldergrove, BC V4W 3P6;Fitness;Drop-In Weight Room & Circuit;All Ages;Recreational;Drop-In;Daily;6:30 AM - 9:00 PM;$6.25;No;Yes;604-857-4299;https://www.tol.ca;27032 Fraser Hwy, Aldergrove, BC;Indoor;Medium;Modern facility with outdoor waterpark access.;2026-05-13
Bridgeview Community Centre;Community Centre;Surrey;11475 126A Street, Surrey, BC;Badminton;Badminton Family;Family;Recreational;Drop-In;Sat;1:00 PM - 2:30 PM;$4.00;No;Yes;604-592-7081;https://www.surrey.ca;11475 126A Street, Surrey, BC;Indoor;Medium;Family rotation required when busy.;2026-06-22
Bridgeview Community Centre;Community Centre;Surrey;11475 126A Street, Surrey, BC;Basketball;Basketball 13+;Youth;Recreational;Drop-In;Wed;5:15 PM - 7:45 PM;$4.00;No;Yes;604-592-7081;https://www.surrey.ca;11475 126A Street, Surrey, BC;Indoor;Medium;Shared court rotation.;2026-06-22
Bridgeview Community Centre;Community Centre;Surrey;11475 126A Street, Surrey, BC;Basketball;Basketball 13+;Youth;Recreational;Drop-In;Sat;8:00 AM - 10:30 AM;$4.00;No;Yes;604-592-7081;https://www.surrey.ca;11475 126A Street, Surrey, BC;Indoor;Medium;Weekend youth session.;2026-06-22
Bridgeview Community Centre;Community Centre;Surrey;11475 126A Street, Surrey, BC;Volleyball;Volleyball 13+;Youth;Recreational;Drop-In;Tue;5:30 PM - 8:00 PM;$4.00;No;Yes;604-592-7081;https://www.surrey.ca;11475 126A Street, Surrey, BC;Indoor;Medium;Youth rotation rules apply.;2026-06-22
Bridgeview Community Centre;Community Centre;Surrey;11475 126A Street, Surrey, BC;Volleyball;Volleyball 13+;Youth;Recreational;Drop-In;Sun;8:00 AM - 10:00 AM;$4.00;No;Yes;604-592-7081;https://www.surrey.ca;11475 126A Street, Surrey, BC;Indoor;Medium;Open youth volleyball.;2026-06-22
Bridgeview Community Centre;Community Centre;Surrey;11475 126A Street, Surrey, BC;Volleyball;Volleyball Family;Family;Recreational;Drop-In;Tue;5:00 PM - 6:30 PM;$4.00;No;Yes;604-592-7081;https://www.surrey.ca;11475 126A Street, Surrey, BC;Indoor;Medium;Family rallying only.;2026-06-22
Chuck Bailey Recreation Centre;Community Centre;Surrey;13458 107A Avenue, Surrey, BC;Badminton;Badminton Adult;Adult;Recreational;Drop-In;Tue;6:30 PM - 8:00 PM;$7.50;No;Yes;604-598-5898;https://www.surrey.ca;13458 107A Avenue, Surrey, BC;Indoor;High;Very busy adult session.;2026-06-22
Chuck Bailey Recreation Centre;Community Centre;Surrey;13458 107A Avenue, Surrey, BC;Badminton;Badminton Adult;Adult;Recreational;Drop-In;Fri;8:00 AM - 12:30 PM;$7.50;No;Yes;604-598-5898;https://www.surrey.ca;13458 107A Avenue, Surrey, BC;Indoor;High;Morning rotation enforced.;2026-06-22
Chuck Bailey Recreation Centre;Community Centre;Surrey;13458 107A Avenue, Surrey, BC;Badminton;Badminton Family;Family;Recreational;Drop-In;Wed;12:45 PM - 2:15 PM;$4.00;No;Yes;604-598-5898;https://www.surrey.ca;13458 107A Avenue, Surrey, BC;Indoor;Medium;Family rallying only.;2026-06-22
Chuck Bailey Recreation Centre;Community Centre;Surrey;13458 107A Avenue, Surrey, BC;Badminton;Badminton Family;Family;Recreational;Drop-In;Thu;3:00 PM - 4:30 PM;$4.00;No;Yes;604-598-5898;https://www.surrey.ca;13458 107A Avenue, Surrey, BC;Indoor;Medium;Shared court rotation.;2026-06-22
Cloverdale Recreation Centre;Community Centre;Surrey;6188 176 Street, Surrey, BC;Stay and Play;Stay and Play Parent Participation;Family;Recreational;Drop-In;Thu;9:00 AM - 11:00 AM;$4.00;No;Yes;604-598-7560;https://www.surrey.ca;6188 176 Street, Surrey, BC;Indoor;Medium;Toddlers & parents.;2026-06-22
Cloverdale Recreation Centre;Community Centre;Surrey;6188 176 Street, Surrey, BC;Table Tennis;Table Tennis Senior Services;Senior;Recreational;Drop-In;Fri;1:00 PM - 2:00 PM;$2.50;Yes;Yes;604-598-7560;https://www.surrey.ca;6188 176 Street, Surrey, BC;Indoor;Medium;Senior table rotation.;2026-06-22
Cloverdale Recreation Centre;Community Centre;Surrey;6188 176 Street, Surrey, BC;Volleyball;Volleyball Adult;Adult;Recreational;Drop-In;Thu;1:15 PM - 2:45 PM;$7.50;No;Yes;604-598-7560;https://www.surrey.ca;6188 176 Street, Surrey, BC;Indoor;Medium;Adult rotation.;2026-06-22
Cloverdale Recreation Centre;Community Centre;Surrey;6188 176 Street, Surrey, BC;Volleyball;Volleyball Adult;Adult;Recreational;Drop-In;Fri;7:00 AM - 8:30 AM;$7.50;No;Yes;604-598-7560;https://www.surrey.ca;6188 176 Street, Surrey, BC;Indoor;Medium;Early morning volleyball.;2026-06-22
Cloverdale Recreation Centre;Community Centre;Surrey;6188 176 Street, Surrey, BC;Volleyball;Volleyball Adult;Adult;Recreational;Drop-In;Sat;5:15 PM - 8:45 PM;$7.50;No;Yes;604-598-7560;https://www.surrey.ca;6188 176 Street, Surrey, BC;Indoor;High;Busy evening session.;2026-06-22
Fleetwood Community Centre;Community Centre;Surrey;15996 84 Avenue, Surrey, BC;Table Tennis;Table Tennis Family;Family;Recreational;Drop-In;Sun;2:15 PM - 2:45 PM;$4.00;No;Yes;604-501-5030;https://www.surrey.ca;15996 84 Avenue, Surrey, BC;Indoor;Medium;Short family session.;2026-06-22
